location,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations
Afghanistan,12716525.0,10093624.0,2368962.0,6874.0,978002.0
Albania,56816656.0,25845822.0,16724617.0,755120.0,1025973.0
Algeria,2575030.0,2575030.0,0.0,30.0,2437370.0
Andorra,509460.0,329482.0,118520.0,4802.0,65781.0
Angola,16412310.0,11683758.0,4728552.0,0.0,1541670.0
Antigua and Barbuda,1531781.0,1072026.0,459755.0,6101.0,68051.0
Argentina,1410625032.0,1139250933.0,270826653.0,25244573.0,24714283.0
Armenia,819684.0,616495.0,147632.0,0.0,246628.0
Australia,400220940.0,235921764.0,50182622.0,8422791.0,9087627.0
Austria,570388568.0,384278393.0,191026768.0,8803195.0,8632203.0
Azerbaijan,232487882.0,146625978.0,85861904.0,3254204.0,4099133.0
Bahamas,717087.0,538884.0,178193.0,110.0,97697.0
Bahrain,182142440.0,111579922.0,79478052.0,1768258.0,2174134.0
Bangladesh,671170740.0,465281609.0,205889131.0,4122749.0,10110269.0
Barbados,12914663.0,9124408.0,3790255.0,161164.0,170685.0
Belarus,4521070.0,2986348.0,1534722.0,0.0,1010936.0
Belgium,758702185.0,520565910.0,248697605.0,12560556.0,12249677.0
Belize,3117496.0,2657179.0,460317.0,61633.0,142910.0
Benin,148912.0,121491.0,27421.0,0.0,41250.0
Bhutan,28521158.0,28518289.0,2869.0,482131.0,747553.0
Bolivia,100711861.0,75281798.0,25414025.0,1907240.0,2985106.0
Bosnia and Herzegovina,1733654.0,1314016.0,483014.0,0.0,466875.0
Botswana,2856549.0,2336712.0,519837.0,0.0,265166.0
Brazil,5859673601.0,4160566957.0,1625841021.0,90375860.0,114883308.0
Brunei,2759735.0,2295857.0,463878.0,71772.0,113958.0
Bulgaria,140941823.0,88680904.0,52260919.0,1881687.0,1860833.0
Burkina Faso,85649.0,82168.0,3481.0,0.0,34898.0
Cambodia,447133296.0,264706651.0,182426636.0,9061486.0,8732268.0
Cameroon,1080403.0,910893.0,169510.0,400.0,153955.0
Canada,2501081491.0,2014564369.0,486517122.0,43856636.0,42606130.0
Cape Verde,826506.0,708825.0,67016.0,7462.0,115833.0
Central African Republic,274839.0,274839.0,0.0,12887.0,80591.0
Chad,59186.0,50990.0,8196.0,0.0,10397.0
Chile,2100136429.0,1243249115.0,868887920.0,24248125.0,23988508.0
China,67593943700.0,622000000.0,223299000.0,1334149000.0,1382547215.0
Colombia,830696396.0,552463717.0,277856699.0,15389409.0,20741474.0
Comoros,499753.0,229140.0,95826.0,0.0,81026.0
Congo,613013.0,613013.0,0.0,1486.0,98596.0
Costa Rica,25506084.0,16517795.0,8988289.0,0.0,2575583.0
Cote d'Ivoire,39994641.0,39994641.0,0.0,752274.0,849550.0
Croatia,148434538.0,100476645.0,47809197.0,1765507.0,2815888.0
Cuba,211362546.0,108598233.0,40193008.0,5580283.0,5767761.0
Cyprus,30968510.0,19275375.0,11692395.0,259582.0,890718.0
Czechia,587104739.0,393631794.0,197681598.0,9251476.0,9024134.0
